江苏电信,#genre#
重庆卫视,http://121.226.125.49:7777/rtp/239.49.8.57:9830?$江苏电信
东方卫视,http://121.226.125.49:7777/rtp/239.49.8.17:9606?$江苏电信
东南卫视,http://121.226.125.49:7777/rtp/239.49.8.112:8000?$江苏电信
广东卫视,http://121.226.125.49:7777/rtp/239.49.8.13:9422?$江苏电信
贵州卫视,http://121.226.125.49:7777/rtp/239.49.8.49:8000?$江苏电信
海南卫视,http://121.226.125.49:7777/rtp/239.49.8.83:8000?$江苏电信
河北卫视,http://121.226.125.49:7777/rtp/239.49.8.114:8000?$江苏电信
河南卫视,http://121.226.125.49:7777/rtp/239.49.8.29:8000?$江苏电信
黑龙江卫视,http://121.226.125.49:7777/rtp/239.49.8.14:9426?$江苏电信
湖北卫视,http://121.226.125.49:7777/rtp/239.49.8.8:9632?$江苏电信
湖南卫视,http://121.226.125.49:7777/rtp/239.49.8.12:9418?$江苏电信
吉林卫视,http://121.226.125.49:7777/rtp/239.49.8.113:8000?$江苏电信
江苏卫视,http://121.226.125.49:7777/rtp/239.49.8.16:9602?$江苏电信
江西卫视,http://121.226.125.49:7777/rtp/239.49.8.111:8000?$江苏电信
辽宁卫视,http://121.226.125.49:7777/rtp/239.49.8.48:8000?$江苏电信
山东卫视,http://121.226.125.49:7777/rtp/239.49.8.7:9306?$江苏电信
深圳卫视,http://121.226.125.49:7777/rtp/239.49.8.15:9430?$江苏电信
四川卫视,http://121.226.125.49:7777/rtp/239.49.8.110:8000?$江苏电信
天津卫视,http://121.226.125.49:7777/rtp/239.49.8.35:8620?$江苏电信
云南卫视,http://121.226.125.49:7777/rtp/239.49.0.177:8000?$江苏电信
浙江卫视,http://121.226.125.49:7777/rtp/239.49.8.20:9618?$江苏电信
第一剧场,http://121.226.125.49:7777/rtp/239.49.8.94:8000?$江苏电信
风云剧场,http://121.226.125.49:7777/rtp/239.49.8.89:8000?$江苏电信
风云音乐,http://121.226.125.49:7777/rtp/239.49.8.92:8000?$江苏电信
怀旧剧场,http://121.226.125.49:7777/rtp/239.49.8.91:8000?$江苏电信
女性时尚,http://121.226.125.49:7777/rtp/239.49.8.93:8000?$江苏电信
世界地理,http://121.226.125.49:7777/rtp/239.49.8.87:8000?$江苏电信
江苏新闻,http://121.226.125.49:7777/rtp/239.49.8.120:8000?$江苏电信
江苏城市,http://121.226.125.49:7777/rtp/239.49.8.107:8000?$江苏电信
江苏教育,http://121.226.125.49:7777/rtp/239.49.8.122:8000?$江苏电信
江苏体育,http://121.226.125.49:7777/rtp/239.49.8.117:8000?$江苏电信
江苏影视,http://121.226.125.49:7777/rtp/239.49.8.118:8000?$江苏电信
江苏综艺,http://121.226.125.49:7777/rtp/239.49.8.108:8000?$江苏电信
CCTV1,http://kouki.pro:8888/rtp/239.49.8.19:9614?$江苏电信
CCTV2,http://kouki.pro:8888/rtp/239.49.8.50:9802?$江苏电信
CCTV4,http://kouki.pro:8888/rtp/239.49.8.51:9806?$江苏电信
CCTV5,http://kouki.pro:8888/rtp/239.49.8.75:8000?$江苏电信
CCTV5+,http://kouki.pro:8888/rtp/239.49.8.18:9610?$江苏电信
CCTV7,http://kouki.pro:8888/rtp/239.49.1.254:6000?$江苏电信
CCTV9,http://kouki.pro:8888/rtp/239.49.8.53:9814?$江苏电信
CCTV10,http://kouki.pro:8888/rtp/239.49.8.54:9818?$江苏电信
CCTV11,http://kouki.pro:8888/rtp/239.49.1.11:6000?$江苏电信
CCTV12,http://kouki.pro:8888/rtp/239.49.8.55:9822?$江苏电信
CCTV14,http://kouki.pro:8888/rtp/239.49.8.56:9826?$江苏电信
CCTV15,http://kouki.pro:8888/rtp/239.49.1.15:6000?$江苏电信
CCTV17,http://kouki.pro:8888/rtp/239.49.8.52:9810?$江苏电信
安徽卫视,http://kouki.pro:8888/rtp/239.49.8.80:8000?$江苏电信
北京卫视,http://kouki.pro:8888/rtp/239.49.8.11:9414?$江苏电信
重庆卫视,http://kouki.pro:8888/rtp/239.49.8.57:9830?$江苏电信
东方卫视,http://kouki.pro:8888/rtp/239.49.8.17:9606?$江苏电信
东南卫视,http://kouki.pro:8888/rtp/239.49.8.112:8000?$江苏电信
广东卫视,http://kouki.pro:8888/rtp/239.49.8.13:9422?$江苏电信
贵州卫视,http://kouki.pro:8888/rtp/239.49.8.49:8000?$江苏电信
海南卫视,http://kouki.pro:8888/rtp/239.49.8.83:8000?$江苏电信
河北卫视,http://kouki.pro:8888/rtp/239.49.8.114:8000?$江苏电信
河南卫视,http://kouki.pro:8888/rtp/239.49.8.29:8000?$江苏电信
黑龙江卫视,http://kouki.pro:8888/rtp/239.49.8.14:9426?$江苏电信
湖北卫视,http://kouki.pro:8888/rtp/239.49.8.8:9632?$江苏电信
湖南卫视,http://kouki.pro:8888/rtp/239.49.8.12:9418?$江苏电信
吉林卫视,http://kouki.pro:8888/rtp/239.49.8.113:8000?$江苏电信
江苏卫视,http://kouki.pro:8888/rtp/239.49.8.16:9602?$江苏电信
江西卫视,http://kouki.pro:8888/rtp/239.49.8.111:8000?$江苏电信
辽宁卫视,http://kouki.pro:8888/rtp/239.49.8.48:8000?$江苏电信
山东卫视,http://kouki.pro:8888/rtp/239.49.8.7:9306?$江苏电信
深圳卫视,http://kouki.pro:8888/rtp/239.49.8.15:9430?$江苏电信
四川卫视,http://kouki.pro:8888/rtp/239.49.8.110:8000?$江苏电信
天津卫视,http://kouki.pro:8888/rtp/239.49.8.35:8620?$江苏电信
云南卫视,http://kouki.pro:8888/rtp/239.49.0.177:8000?$江苏电信
浙江卫视,http://kouki.pro:8888/rtp/239.49.8.20:9618?$江苏电信
第一剧场,http://kouki.pro:8888/rtp/239.49.8.94:8000?$江苏电信
风云剧场,http://kouki.pro:8888/rtp/239.49.8.89:8000?$江苏电信
风云音乐,http://kouki.pro:8888/rtp/239.49.8.92:8000?$江苏电信
怀旧剧场,http://kouki.pro:8888/rtp/239.49.8.91:8000?$江苏电信
女性时尚,http://kouki.pro:8888/rtp/239.49.8.93:8000?$江苏电信
世界地理,http://kouki.pro:8888/rtp/239.49.8.87:8000?$江苏电信
江苏新闻,http://kouki.pro:8888/rtp/239.49.8.120:8000?$江苏电信
江苏城市,http://kouki.pro:8888/rtp/239.49.8.107:8000?$江苏电信
江苏教育,http://kouki.pro:8888/rtp/239.49.8.122:8000?$江苏电信
江苏体育,http://kouki.pro:8888/rtp/239.49.8.117:8000?$江苏电信
江苏影视,http://kouki.pro:8888/rtp/239.49.8.118:8000?$江苏电信
江苏综艺,http://kouki.pro:8888/rtp/239.49.8.108:8000?$江苏电信
CCTV1,http://111.12.69.253:9090/rtp/239.81.0.102:4056$广西电信
CCTV1,http://111.12.69.253:9090/rtp/239.81.0.13:4056$广西电信
CCTV2,http://111.12.69.253:9090/rtp/239.81.0.115:4056$广西电信
CCTV2,http://111.12.69.253:9090/rtp/239.81.0.14:4056$广西电信
CCTV3,http://111.12.69.253:9090/rtp/239.81.0.231:4056$广西电信
CCTV4,http://111.12.69.253:9090/rtp/239.81.0.96:4056$广西电信
CCTV4,http://111.12.69.253:9090/rtp/239.81.0.16:4056$广西电信
CCTV4K,http://111.12.69.253:9090/rtp/239.81.0.69:4056$广西电信
CCTV4K,http://111.12.69.253:9090/rtp/239.81.0.71:4056$广西电信
CCTV5,http://111.12.69.253:9090/rtp/239.81.0.232:4056$广西电信
CCTV5＋,http://111.12.69.253:9090/rtp/239.81.0.101:4056$广西电信
CCTV6,http://111.12.69.253:9090/rtp/239.81.0.233:4056$广西电信
CCTV7,http://111.12.69.253:9090/rtp/239.81.0.116:4056$广西电信
CCTV7,http://111.12.69.253:9090/rtp/239.81.0.19:4056$广西电信
CCTV8,http://111.12.69.253:9090/rtp/239.81.0.234:4056$广西电信
CCTV9,http://111.12.69.253:9090/rtp/239.81.0.117:4056$广西电信
CCTV9,http://111.12.69.253:9090/rtp/239.81.0.21:4056$广西电信
CCTV10,http://111.12.69.253:9090/rtp/239.81.0.118:4056$广西电信
CCTV10,http://111.12.69.253:9090/rtp/239.81.0.22:4056$广西电信
CCTV11,http://111.12.69.253:9090/rtp/239.81.0.229:4056$广西电信
CCTV11,http://111.12.69.253:9090/rtp/239.81.0.23:4056$广西电信
CCTV12,http://111.12.69.253:9090/rtp/239.81.0.119:4056$广西电信
CCTV12,http://111.12.69.253:9090/rtp/239.81.0.24:4056$广西电信
CCTV13,http://111.12.69.253:9090/rtp/239.81.0.26:4056$广西电信
CCTV13,http://111.12.69.253:9090/rtp/239.81.0.206:4056$广西电信
CCTV14,http://111.12.69.253:9090/rtp/239.81.0.120:4056$广西电信
CCTV14,http://111.12.69.253:9090/rtp/239.81.0.25:4056$广西电信
CCTV15,http://111.12.69.253:9090/rtp/239.81.0.230:4056$广西电信
CCTV15,http://111.12.69.253:9090/rtp/239.81.0.27:4056$广西电信
CCTV17,http://111.12.69.253:9090/rtp/239.81.0.228:4056$广西电信
CCTV17,http://111.12.69.253:9090/rtp/239.81.0.227:4056$广西电信
CCTV中学生,http://111.12.69.253:9090/rtp/239.81.0.87:4056$广西电信
安徽卫视,http://111.12.69.253:9090/rtp/239.81.0.211:4056$广西电信
安徽卫视,http://111.12.69.253:9090/rtp/239.81.0.37:4056$广西电信
北京卫视,http://111.12.69.253:9090/rtp/239.81.0.109:4056$广西电信
北京卫视,http://111.12.69.253:9090/rtp/239.81.0.30:4056$广西电信
兵团卫视,http://111.12.69.253:9090/rtp/239.81.0.213:4056$广西电信
重庆卫视,http://111.12.69.253:9090/rtp/239.81.0.47:4056$广西电信
东方卫视,http://111.12.69.253:9090/rtp/239.81.0.111:4056$广西电信
东方卫视,http://111.12.69.253:9090/rtp/239.81.0.29:4056$广西电信
东南卫视,http://111.12.69.253:9090/rtp/239.81.0.215:4056$广西电信
东南卫视,http://111.12.69.253:9090/rtp/239.81.0.59:4056$广西电信
甘肃卫视,http://111.12.69.253:9090/rtp/239.81.0.207:4056$广西电信
广东卫视,http://111.12.69.253:9090/rtp/239.81.0.104:4056$广西电信
广东卫视,http://111.12.69.253:9090/rtp/239.81.0.36:4056$广西电信
广西卫视,http://111.12.69.253:9090/rtp/239.81.0.107:4056$广西电信
广西卫视,http://111.12.69.253:9090/rtp/239.81.0.2:4056$广西电信
贵州卫视,http://111.12.69.253:9090/rtp/239.81.0.56:4056$广西电信
贵州卫视,http://111.12.69.253:9090/rtp/239.81.0.95:4056$广西电信
海南卫视,http://111.12.69.253:9090/rtp/239.81.0.48:4056$广西电信
河北卫视,http://111.12.69.253:9090/rtp/239.81.0.51:4056$广西电信
河北卫视,http://111.12.69.253:9090/rtp/239.81.0.94:4056$广西电信
河南卫视,http://111.12.69.253:9090/rtp/239.81.0.44:4056$广西电信
黑龙江卫视,http://111.12.69.253:9090/rtp/239.81.0.105:4056$广西电信
黑龙江卫视,http://111.12.69.253:9090/rtp/239.81.0.33:4056$广西电信
湖北卫视,http://111.12.69.253:9090/rtp/239.81.0.112:4056$广西电信
湖北卫视,http://111.12.69.253:9090/rtp/239.81.0.41:4056$广西电信
湖南卫视,http://111.12.69.253:9090/rtp/239.81.0.110:4056$广西电信
湖南卫视,http://111.12.69.253:9090/rtp/239.81.0.40:4056$广西电信
吉林卫视,http://111.12.69.253:9090/rtp/239.81.0.58:4056$广西电信
江苏卫视,http://111.12.69.253:9090/rtp/239.81.0.106:4056$广西电信
江苏卫视,http://111.12.69.253:9090/rtp/239.81.0.34:4056$广西电信
江西卫视,http://111.12.69.253:9090/rtp/239.81.0.204:4056$广西电信
江西卫视,http://111.12.69.253:9090/rtp/239.81.0.38:4056$广西电信
辽宁卫视,http://111.12.69.253:9090/rtp/239.81.0.210:4056$广西电信
辽宁卫视,http://111.12.69.253:9090/rtp/239.81.0.35:4056$广西电信
南方卫视,http://111.12.69.253:9090/rtp/239.81.0.32:4056$广西电信
内蒙古卫视,http://111.12.69.253:9090/rtp/239.81.0.54:4056$广西电信
宁夏卫视,http://111.12.69.253:9090/rtp/239.81.0.60:4056$广西电信
青海卫视,http://111.12.69.253:9090/rtp/239.81.0.53:4056$广西电信
三沙卫视,http://111.12.69.253:9090/rtp/239.81.0.242:4056$广西电信
山东教育卫视,http://111.12.69.253:9090/rtp/239.81.0.93:4056$广西电信
山东卫视,http://111.12.69.253:9090/rtp/239.81.0.114:4056$广西电信
山东卫视,http://111.12.69.253:9090/rtp/239.81.0.39:4056$广西电信
山西卫视,http://111.12.69.253:9090/rtp/239.81.0.49:4056$广西电信
陕西卫视,http://111.12.69.253:9090/rtp/239.81.0.89:4056$广西电信
深圳卫视,http://111.12.69.253:9090/rtp/239.81.0.103:4056$广西电信
深圳卫视,http://111.12.69.253:9090/rtp/239.81.0.57:4056$广西电信
四川卫视,http://111.12.69.253:9090/rtp/239.81.0.130:4056$广西电信
四川卫视,http://111.12.69.253:9090/rtp/239.81.0.43:4056$广西电信
天津卫视,http://111.12.69.253:9090/rtp/239.81.0.113:4056$广西电信
天津卫视,http://111.12.69.253:9090/rtp/239.81.0.50:4056$广西电信
西藏卫视,http://111.12.69.253:9090/rtp/239.81.0.55:4056$广西电信
厦门卫视,http://111.12.69.253:9090/rtp/239.81.0.212:4056$广西电信
新疆卫视,http://111.12.69.253:9090/rtp/239.81.0.46:4056$广西电信
云南卫视,http://111.12.69.253:9090/rtp/239.81.0.45:4056$广西电信
浙江卫视,http://111.12.69.253:9090/rtp/239.81.0.108:4056$广西电信
浙江卫视,http://111.12.69.253:9090/rtp/239.81.0.31:4056$广西电信
CGTN,http://111.12.69.253:9090/rtp/239.81.0.28:4056$广西电信
CETV1,http://111.12.69.253:9090/rtp/239.81.0.92:4056$广西电信
CETV1,http://111.12.69.253:9090/rtp/239.81.0.52:4056$广西电信
CETV2,http://111.12.69.253:9090/rtp/239.81.0.245:4056$广西电信
CETV4,http://111.12.69.253:9090/rtp/239.81.0.246:4056$广西电信
广西综艺,http://111.12.69.253:9090/rtp/239.81.0.214:4056$广西电信
广西影视,http://111.12.69.253:9090/rtp/239.81.0.250:4056$广西电信
广西新闻,http://111.12.69.253:9090/rtp/239.81.0.248:4056$广西电信
广西公共,http://111.12.69.253:9090/rtp/239.81.0.249:4056$广西电信
广西都市,http://111.12.69.253:9090/rtp/239.81.0.247:4056$广西电信
广西综艺,http://111.12.69.253:9090/rtp/239.81.0.3:4056$广西电信
广西都市,http://111.12.69.253:9090/rtp/239.81.0.4:4056$广西电信
广西新闻,http://111.12.69.253:9090/rtp/239.81.0.5:4056$广西电信
广西公共,http://111.12.69.253:9090/rtp/239.81.0.6:4056$广西电信
广西影视,http://111.12.69.253:9090/rtp/239.81.0.7:4056$广西电信
广西国际,http://111.12.69.253:9090/rtp/239.81.0.8:4056$广西电信
广西乐思购,http://111.12.69.253:9090/rtp/239.81.0.9:4056$广西电信
广西移动电视,http://111.12.69.253:9090/rtp/239.81.0.10:4056$广西电信
广西科教,http://111.12.69.253:9090/rtp/239.81.0.11:4056$广西电信
南宁影视,http://111.12.69.253:9090/rtp/239.81.0.128:4056$广西电信
南宁新闻,http://111.12.69.253:9090/rtp/239.81.0.241:4056$广西电信
南宁新闻,http://111.12.69.253:9090/rtp/239.81.0.126:4056$广西电信
南宁公共,http://111.12.69.253:9090/rtp/239.81.0.129:4056$广西电信
南宁都市,http://111.12.69.253:9090/rtp/239.81.0.127:4056$广西电信
柳州新闻,http://111.12.69.253:9090/rtp/239.81.0.134:4056$广西电信
北海新闻,http://111.12.69.253:9090/rtp/239.81.0.136:4056$广西电信
玉林新闻,http://111.12.69.253:9090/rtp/239.81.0.138:4056$广西电信
贺州新闻,http://111.12.69.253:9090/rtp/239.81.0.137:4056$广西电信
桂林新闻,http://111.12.69.253:9090/rtp/239.81.0.135:4056$广西电信
爱上4K,http://111.12.69.253:9090/rtp/239.81.0.123:4056$广西电信
经典电影,http://111.12.69.253:9090/rtp/239.81.0.84:4056$广西电信
热播剧场,http://111.12.69.253:9090/rtp/239.81.0.85:4056$广西电信
都市剧场,http://111.12.69.253:9090/rtp/239.81.0.81:4056$广西电信
生活时尚,http://111.12.69.253:9090/rtp/239.81.0.75:4056$广西电信
魅力时尚,http://111.12.69.253:9090/rtp/239.81.0.83:4056$广西电信
七彩戏剧,http://111.12.69.253:9090/rtp/239.81.0.70:4056$广西电信
法治天地,http://111.12.69.253:9090/rtp/239.81.0.79:4056$广西电信
金色频道,http://111.12.69.253:9090/rtp/239.81.0.80:4056$广西电信
广西IPTV4,http://111.12.69.253:9090/rtp/239.81.0.251:4056$广西电信
广西IPTV5,http://111.12.69.253:9090/rtp/239.81.0.205:4056$广西电信
广西IPTV7,http://111.12.69.253:9090/rtp/239.81.0.253:4056$广西电信
广西IPTV8,http://111.12.69.253:9090/rtp/239.81.0.208:4056$广西电信
广西IPTV9,http://111.12.69.253:9090/rtp/239.81.0.209:4056$广西电信
广西IPTV影院,http://111.12.69.253:9090/rtp/239.81.0.100:4056$广西电信
广西IPTV12,http://111.12.69.253:9090/rtp/239.81.0.124:4056$广西电信
广西IPTV13,http://111.12.69.253:9090/rtp/239.81.0.125:4056$广西电信
IPTV自然传奇,http://111.12.69.253:9090/rtp/239.81.0.18:4056$广西电信
IPTV法治,http://111.12.69.253:9090/rtp/239.81.0.20:4056$广西电信
IPTV相声小品,http://111.12.69.253:9090/rtp/239.81.0.17:4056$广西电信
