A1,#genre#
TVBS,https://gat.zhoujie218.top/litv/4gtv-4gtv073
八大精彩台,https://gat.zhoujie218.top/litv/4gtv-4gtv034
八大综艺台,https://gat.zhoujie218.top/litv/4gtv-4gtv039
半岛新闻,https://gat.zhoujie218.top/litv/litv-ftv10
采昌影剧,https://gat.zhoujie218.top/litv/4gtv-4gtv049
大爱电视,https://gat.zhoujie218.top/4gtv/209
大爱电视2,https://gat.zhoujie218.top/4gtv/230
东森财经新闻,https://gat.zhoujie218.top/litv/4gtv-4gtv153
东森新闻,https://gat.zhoujie218.top/litv/4gtv-4gtv152
非凡新闻,https://gat.zhoujie218.top/litv/4gtv-4gtv010
公视戏剧,https://gat.zhoujie218.top/litv/4gtv-4gtv042
华视,https://gat.zhoujie218.top/litv/4gtv-4gtv041
华视新闻,https://gat.zhoujie218.top/litv/4gtv-4gtv052
寰宇财经台,https://gat.zhoujie218.top/litv/litv-longturn23
寰宇新闻台,https://gat.zhoujie218.top/litv/litv-longturn14
寰宇新闻台湾台,https://gat.zhoujie218.top/litv/litv-longturn15
经典电影台,https://gat.zhoujie218.top/4gtv/201
靖天电影台,https://gat.zhoujie218.top/litv/4gtv-4gtv061
靖天国际台,https://gat.zhoujie218.top/litv/4gtv-4gtv063
靖天欢乐台,https://gat.zhoujie218.top/litv/4gtv-4gtv054
靖天卡通台,https://gat.zhoujie218.top/litv/4gtv-4gtv044
靖天日本台,https://gat.zhoujie218.top/litv/4gtv-4gtv047
靖天戏剧台,https://gat.zhoujie218.top/litv/4gtv-4gtv058
靖天映画,https://gat.zhoujie218.top/litv/4gtv-4gtv055
靖天育乐台,https://gat.zhoujie218.top/litv/4gtv-4gtv062
靖天资讯台,https://gat.zhoujie218.top/litv/4gtv-4gtv065
靖天综合台,https://gat.zhoujie218.top/litv/4gtv-4gtv046
镜新闻,https://gat.zhoujie218.top/litv/4gtv-4gtv075
靖洋卡通台,https://gat.zhoujie218.top/litv/4gtv-4gtv057
靖洋戏剧台,https://gat.zhoujie218.top/litv/4gtv-4gtv045
龙华电影,https://gat.zhoujie218.top/litv/litv-longturn03
龙华经典,https://gat.zhoujie218.top/litv/litv-longturn21
龙华卡通,https://gat.zhoujie218.top/litv/litv-longturn01
龙华偶像,https://gat.zhoujie218.top/litv/litv-longturn12
龙华日韩,https://gat.zhoujie218.top/litv/litv-longturn11
龙华戏剧,https://gat.zhoujie218.top/litv/litv-longturn18
民视,https://gat.zhoujie218.top/litv/4gtv-4gtv002
民视,https://gat.zhoujie218.top/litv/4gtv-4gtv155
民视第一台,https://gat.zhoujie218.top/litv/4gtv-4gtv003
民视旅游,https://gat.zhoujie218.top/litv/litv-ftv07
民视台湾台,https://gat.zhoujie218.top/litv/4gtv-4gtv001
民视台湾台,https://gat.zhoujie218.top/litv/4gtv-4gtv156
民视新闻台,https://gat.zhoujie218.top/litv/litv-ftv13
